date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:59	43722/43722	U-----	200	untouched ('OK')	application/rss+xml	etag:%221385457599-0%22	http://fossasia.org/blog/feed	/home/maker/websites/fossasia.org/blog/feedhtml.html	(from http://fossasia.org/blog)
09:28:59	17757/17757	U-----	200	untouched ('OK')	text/html	etag:%221385429190-0%22	http://fossasia.org/blogs/opera-software-banks-android%E2%80%99s-rise-speedy-growth	/home/maker/websites/fossasia.org/blogs/opera-software-banks-android%e2%80%99s-rise-speedy-growth.html	(from http://fossasia.org/blog)
09:29:00	15834/15834	U-----	200	untouched ('OK')	text/html	etag:%221385433494-0%22	http://fossasia.org/user/1	/home/maker/websites/fossasia.org/user/1.html	(from http://fossasia.org/blog)
09:29:01	18202/18202	U-----	200	untouched ('OK')	text/html	etag:%221385433483-0%22	http://fossasia.org/blogs/admin	/home/maker/websites/fossasia.org/blogs/admin.html	(from http://fossasia.org/blog)
09:29:01	31142/31142	U-----	200	untouched ('OK')	text/html	etag:%221385633718-0%22	http://fossasia.org/blog?page=1	/home/maker/websites/fossasia.org/blog2679.html	(from http://fossasia.org/blog)
09:29:01	26149/26149	U-----	200	untouched ('OK')	text/html	etag:%221385633866-0%22	http://fossasia.org/blog?page=2	/home/maker/websites/fossasia.org/blog4658.html	(from http://fossasia.org/blog)
09:29:01	310/310	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2001%20Dec%202013%2002:29:01%20GMT	https://fedorahosted.org/released/%%7Bname%7D/%%7Bname%7D-%%7Bversion%7D.tar.bz2	/home/maker/websites/fossasia.org/released/_Bname}/_Bname}-_Bversion}.tar.27.delayed	(from http://fossasia.org/)
09:29:02	28480/28480	U-----	200	untouched ('OK')	text/html	etag:%221385745477-0%22	http://fossasia.org/blog?page=4	/home/maker/websites/fossasia.org/blogfdb0.html	(from http://fossasia.org/blog)
09:29:02	21476/21476	U-----	200	untouched ('OK')	text/html	etag:%221385584799-0%22	http://fossasia.org/blog?page=3	/home/maker/websites/fossasia.org/blog9ba9.html	(from http://fossasia.org/blog)
09:29:02	33967/33967	U-----	200	untouched ('OK')	text/html	etag:%221385445679-0%22	http://fossasia.org/blog?page=5	/home/maker/websites/fossasia.org/blogaf4d.html	(from http://fossasia.org/blog)
